date,year,month,day,week_day,orders_cnt,orders_sum,orders_weight,orders_weight_avg,orders_sum_avg
2017-01-01,2017,01,01,7,7,44918,68070,9724.2857142857,6416.8571428571
2017-01-02,2017,01,02,1,15,89206,161360,10757.333333333,5947.0666666667
2017-01-03,2017,01,03,2,21,129101,232040,11049.523809524,6147.6666666667
2017-01-04,2017,01,04,3,20,181116,227840,11392,9055.8
2017-01-05,2017,01,05,4,21,223591,246350,11730.952380952,10647.19047619
2017-01-06,2017,01,06,5,27,190493,318170,11784.074074074,7055.2962962963
2017-01-07,2017,01,07,6,28,168593,271410,9693.2142857143,6021.1785714286
2017-01-08,2017,01,08,7,31,192973,384670,12408.709677419,6224.935483871
2017-01-09,2017,01,09,1,30,242523,197810,6593.6666666667,8084.1
2017-01-10,2017,01,10,2,30,239760,413780,13792.666666667,7992
2017-01-11,2017,01,11,3,30,220486,255550,8518.3333333333,7349.5333333333
2017-01-12,2017,01,12,4,39,254806,425140,10901.025641026,6533.4871794872
2017-01-13,2017,01,13,5,33,216695,271790,8236.0606060606,6566.5151515152
2017-01-14,2017,01,14,6,21,228612,341720,16272.380952381,10886.285714286
2017-01-15,2017,01,15,7,26,289166,412390,15861.153846154,11121.769230769
2017-01-16,2017,01,16,1,40,252950,482080,12052,6323.75
2017-01-17,2017,01,17,2,31,191697,283780,9154.1935483871,6183.7741935484
2017-01-18,2017,01,18,3,31,210097,294141,9488.4193548387,6777.3225806452
2017-01-19,2017,01,19,4,27,202485,292180,10821.481481481,7499.4444444444
2017-01-20,2017,01,20,5,34,254760,346560,10192.941176471,7492.9411764706
2017-01-21,2017,01,21,6,25,429901,445460,17818.4,17196.04
2017-01-22,2017,01,22,7,27,226994,484200,17933.333333333,8407.1851851852
2017-01-23,2017,01,23,1,31,585006,379100,12229.032258065,18871.161290323
2017-01-24,2017,01,24,2,31,206228,375750,12120.967741935,6652.5161290323
2017-01-25,2017,01,25,3,36,260699,491630,13656.388888889,7241.6388888889
