date,usd
2017-01-01,60.6569000
2017-01-02,60.6569000
2017-01-03,60.6569000
2017-01-04,60.6569000
2017-01-05,60.6569000
2017-01-06,60.6569000
2017-01-07,60.6569000
2017-01-08,60.6569000
2017-01-09,60.6569000
2017-01-10,59.8961000
2017-01-11,59.9533000
2017-01-12,60.1614000
2017-01-13,59.4978000
2017-01-14,59.3700000
2017-01-15,59.3700000
2017-01-16,59.3700000
2017-01-17,59.6067000
2017-01-18,59.4015000
2017-01-19,59.1830000
2017-01-20,59.3521000
2017-01-21,59.6697000
2017-01-22,59.6697000
2017-01-23,59.6697000
2017-01-24,59.5034000
2017-01-25,59.2168000
2017-01-26,59.1489000
2017-01-27,59.6356000
2017-01-28,60.3196000
2017-01-29,60.3196000
2017-01-30,60.3196000
2017-01-31,60.1618000
2017-02-01,60.0851000
2017-02-02,60.3099000
2017-02-03,59.9858000
2017-02-04,59.3137000
2017-02-05,59.3137000
2017-02-06,59.3137000
2017-02-07,58.7121000
2017-02-08,59.1933000
2017-02-09,59.5129000
2017-02-10,59.0235000
2017-02-11,58.8457000
2017-02-12,58.8457000
2017-02-13,58.8457000
2017-02-14,58.0619000
2017-02-15,57.7388000
2017-02-16,56.7719000
2017-02-17,57.1507000
2017-02-18,57.6342000
2017-02-19,57.6342000
2017-02-20,57.6342000
2017-02-21,58.0967000
2017-02-22,57.8590000
2017-02-23,57.4762000
2017-02-24,57.4762000
2017-02-25,57.4762000
2017-02-26,57.4762000
2017-02-27,57.4762000
2017-02-28,57.9371000
2017-03-01,57.9627000
2017-03-02,58.3776000
2017-03-03,58.4067000
2017-03-04,58.9099000
2017-03-05,58.9099000
2017-03-06,58.9099000
2017-03-07,58.3370000
2017-03-08,58.2630000
2017-03-09,58.2630000
2017-03-10,58.8318000
2017-03-11,59.2174000
2017-03-12,59.2174000
2017-03-13,59.2174000
2017-03-14,59.1327000
2017-03-15,58.9540000
2017-03-16,59.1128000
2017-03-17,58.2437000
2017-03-18,57.9344000
2017-03-19,57.9344000
2017-03-20,57.9344000
2017-03-21,57.2847000
2017-03-22,57.2323000
2017-03-23,57.6360000
2017-03-24,57.5228000
2017-03-25,57.4247000
2017-03-26,57.4247000
2017-03-27,57.4247000
2017-03-28,57.0233000
2017-03-29,56.9364000
2017-03-30,57.0241000
2017-03-31,56.3779000
2017-04-01,55.9606000
2017-04-02,55.9606000
2017-04-03,55.9606000
2017-04-04,56.1396000
2017-04-05,56.5553000
2017-04-06,55.8940000
2017-04-07,56.4369000
2017-04-08,56.9201000
2017-04-09,56.9201000
2017-04-10,56.9201000
2017-04-11,57.3896000
2017-04-12,56.9552000
2017-04-13,56.7556000
2017-04-14,56.6019000
2017-04-15,56.2945000
2017-04-16,56.2945000
2017-04-17,56.2945000
2017-04-18,56.2505000
2017-04-19,55.9793000
2017-04-20,56.1753000
2017-04-21,56.4165000
2017-04-22,56.2307000
2017-04-23,56.2307000
2017-04-24,56.2307000
2017-04-25,56.0794000
2017-04-26,55.8453000
2017-04-27,56.3131000
2017-04-28,56.9707000
2017-04-29,56.9838000
2017-04-30,56.9838000
2017-05-01,56.9838000
2017-05-02,56.9838000
2017-05-03,56.9518000
2017-05-04,57.0927000
2017-05-05,57.5714000
2017-05-06,58.5382000
2017-05-07,58.5382000
2017-05-08,58.5382000
2017-05-09,58.5382000
2017-05-10,58.5382000
2017-05-11,58.0824000
2017-05-12,57.1161000
2017-05-13,57.1640000
2017-05-14,57.1640000
2017-05-15,57.1640000
2017-05-16,56.5258000
2017-05-17,56.2603000
2017-05-18,56.7383000
2017-05-19,57.4683000
2017-05-20,57.1602000
2017-05-21,57.1602000
2017-05-22,57.1602000
2017-05-23,56.4988000
2017-05-24,56.5552000
2017-05-25,56.2743000
2017-05-26,56.0701000
2017-05-27,56.7560000
2017-05-28,56.7560000
2017-05-29,56.7560000
2017-05-30,56.7106000
2017-05-31,56.5168000
2017-06-01,56.6876000
2017-06-02,56.5373000
2017-06-03,56.6876000
2017-06-04,56.6876000
2017-06-05,56.6876000
2017-06-06,56.6152000
2017-06-07,56.6747000
2017-06-08,56.5878000
2017-06-09,56.9857000
